typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","524","NPL","Nepal","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","774627","false","8","kg","774627","false","774627","false","0","false",,"1469837.004","1469837.004","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","616","POL","Poland","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","332421","false","8","kg","332421","false","332421","false","0","false",,"710798.59","710798.59","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","620","PRT","Portugal","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50413","false","8","kg","50413","false","50413","false","0","false",,"50434.749","50434.749","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","704","VNM","Viet Nam","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31151164","false","8","kg","31151164","false","31151164","false","0","false",,"53868886.003","53868886.003","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","710","ZAF","South Africa","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46","false","8","kg","46","false","46","false","0","false",,"165.083","165.083","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","724","ESP","Spain","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8","false","8","kg","8","false","8","false","0","false",,"660.234","660.234","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","752","SWE","Sweden","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","266","false","8","kg","266","false","266","false","0","false",,"2395.612","2395.612","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","764","THA","Thailand","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","812466","false","8","kg","812466","false","812466","false","0","false",,"2176423.587","2176423.587","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10644863","false","8","kg","10644863","false","10644863","false","0","false",,"23256033.281","23256033.281","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","826","GBR","United Kingdom","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6687","false","8","kg","6687","false","6687","false","0","false",,"36332.233","36332.233","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","834","TZA","United Rep. of Tanzania","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15","false","8","kg","15","false","15","false","0","false",,"43.498","43.498","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","842","USA","USA","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1015.693","true","8","kg","958","false","1015.693","true","0","false",,"4724.349","4724.349","6","false","true",
